open;high;low;close;volume;marketCap;timestamp
0.1045949981;2.955450058;0.0961093977;2.2037899494;20214800;220379000;"2017-08-01T00:00:00.000Z"
2.2016899586;2.8492701054;0.5267549753;1.2835799456;6194570;128358000;"2017-09-01T00:00:00.000Z"
1.2841800451;2.0329499245;1.096050024;1.3128900528;3397150;129994490.46;"2017-10-01T00:00:00.000Z"
1.335160017;2.1742300987;1.1956199408;1.9969700575;31559500;197727987.58;"2017-11-01T00:00:00.000Z"
1.9969500303;11.3022003174;1.9229700565;8.6355800629;74927904;855043318.12;"2017-12-01T00:00:00.000Z"
8.629529953;24.9120998383;7.9592199326;11.1450004578;50435000;1103511030;"2018-01-01T00:00:00.000Z"
11.1782999039;11.8706998825;5.5900697708;10.4381999969;69036400;1033527934.8;"2018-02-01T00:00:00.000Z"
10.4482002258;14.8387002945;7.1742300987;11.0558996201;89256304;1094688882.6;"2018-03-01T00:00:00.000Z"
11.1519002914;15.9259004593;10.3782997131;14.3121004105;83765800;1632170348.18;"2018-04-01T00:00:00.000Z"
14.3145999908;16.220500946;11.7031002045;14.190199852;93931696;1618268714.91;"2018-05-01T00:00:00.000Z"
14.2517004013;17.4381008148;13.5444002151;14.6572999954;59676900;1671537401.52;"2018-06-01T00:00:00.000Z"
14.676199913;14.8694000244;11.6484003067;13.7754;66537000;1315723210.84;"2018-07-01T00:00:00.000Z"
13.7696;14.4551;8.66266;11.0138;22638200;1051955827.02;"2018-08-01T00:00:00.000Z"
11.0266;11.5423;9.03731;10.0178;26954000;1176523500.76;"2018-09-01T00:00:00.000Z"
10.0097;10.7457;9.23651;9.36496;21398200;1224930353.01;"2018-10-01T00:00:00.000Z"
9.37131;9.88388;4.44223;5.0785724615;10699024.34;664273799.15;"2018-11-01T00:00:00.000Z"
5.0866951291;6.58520069;4.189970714;6.164731871;38216014.49;806342664.22;"2018-12-01T00:00:00.000Z"
6.191431595;7.2467699391;5.4934209686;6.2684357748;52240450.57;809728264.27;"2019-01-01T00:00:00.000Z"
6.2641423472;11.3237735009;6.1722954174;10.3651777001;100626963.28;1463309043.26;"2019-02-01T00:00:00.000Z"
10.3569312874;17.5683406535;10.3256339366;17.4016701115;199990282.71;2456689309.02;"2019-03-01T00:00:00.000Z"
17.4106383476;25.5334085745;16.5892174312;22.1278355654;190326179.46;3123908033.94;"2019-04-01T00:00:00.000Z"
22.1347514224;35.5045000474;18.467087976;32.7481657417;503989733.97;4623238353.11;"2019-05-01T00:00:00.000Z"
32.7476399387;39.5665352017;29.1836236921;32.4424831406;286632252.04;4580083462.04;"2019-06-01T00:00:00.000Z"
32.4424831406;34.3131249385;24.9036450216;27.6445565509;202950575.53;4299743458.27;"2019-07-01T00:00:00.000Z"
27.6221987322;31.3016108224;21.1903079524;21.2659141866;167589166.35;3307630391.52;"2019-08-01T00:00:00.000Z"
21.2587281589;23.5352134712;14.8412790204;15.862674521;124329060.15;2467228254.39;"2019-09-01T00:00:00.000Z"
15.8827512463;20.9177849952;15.1910243232;20.0002331225;250225840.32;3110770519.11;"2019-10-01T00:00:00.000Z"
19.9941137989;21.6357134592;14.1953532586;15.7159511946;213428130.94;2444407390.48;"2019-11-01T00:00:00.000Z"
15.7431813567;16.0777697284;12.1837306928;13.7276423679;166278253.93;2135152371.14;"2019-12-01T00:00:00.000Z"
13.7309616834;18.8409605733;12.9899737922;18.2109804353;245035922.09;2832476037.41;"2020-01-01T00:00:00.000Z"
18.2028033441;27.117455564;17.824157369;19.5840913769;584219366;3046045199.85;"2020-02-01T00:00:00.000Z"
19.5746153558;21.7016712408;6.963390861;12.5816060263;372566080.4;1956901645.59;"2020-03-01T00:00:00.000Z"
12.5816060263;18.1295282933;12.0578428848;17.0339756262;498015944.18;2649408578.22;"2020-04-01T00:00:00.000Z"
17.0465216634;18.1084840338;14.2843799319;17.0404718891;306613468.06;2650418985.6;"2020-05-01T00:00:00.000Z"
17.0695305596;18.1563462018;15.0206507686;15.4135822071;151582461.01;2397377912.05;"2020-06-01T00:00:00.000Z"
15.4094564636;20.8384760047;15.2450292044;20.6681463971;229781079.94;2984615922.78;"2020-07-01T00:00:00.000Z"
20.6681463971;23.9141650122;19.9726868368;23.1930506074;215511199.97;3349228654.12;"2020-08-01T00:00:00.000Z"
23.1850478859;33.487820989;18.1837083019;29.29087684;566560144.36;4229794764.18;"2020-09-01T00:00:00.000Z"
29.32178053;32.34506936;25.89402918;28.43121469;360596997.67;4105653935.43;"2020-10-01T00:00:00.000Z"
28.43121468;35.28230836;25.89715055;31.39278584;389608480.72;4533324240.43;"2020-11-01T00:00:00.000Z"
