open;high;low;close;volume;marketcap;timestamp
1.1649688073;1.3602157263;0.6335132507;0.6497870138;187200982.48;0;"2022-06-06T00:00:00.000Z"
0.6484381436;0.6657616487;0.4005076852;0.507938969;58129879.65;0;"2022-06-13T00:00:00.000Z"
0.5078333824;0.6469158315;0.4593829155;0.5372122788;88363510.43;0;"2022-06-20T00:00:00.000Z"
0.5379707592;0.6106746478;0.5081378353;0.5206883258;22068113.92;0;"2022-06-27T00:00:00.000Z"
0.5207063533;0.62090411;0.5147598884;0.5338610217;30622606.76;0;"2022-07-04T00:00:00.000Z"
0.5337632101;0.6128412907;0.4147198553;0.5792657218;139693966;0;"2022-07-11T00:00:00.000Z"
0.5794995384;0.9699201855;0.5658829284;0.9210694833;176804028.64;0;"2022-07-18T00:00:00.000Z"
0.9214857557;1.9146395887;0.7500029592;1.586213203;281601942.75;372360954.37;"2022-07-25T00:00:00.000Z"
1.585499637;2.2171345301;1.3699413325;1.9118401035;195864858.01;448801336.53;"2022-08-01T00:00:00.000Z"
1.9109411083;2.0546254157;1.3935853538;1.4421644157;193445025.01;338545737.21;"2022-08-08T00:00:00.000Z"
1.4416499637;1.5980659813;1.0958736133;1.1763323747;167617589.07;276142100.49;"2022-08-15T00:00:00.000Z"
1.1760689417;1.3493098745;0.9942643608;1.0509049706;144633519.28;246698222.56;"2022-08-22T00:00:00.000Z"
1.0512954007;1.2940630403;1.0325460141;1.1729977196;120942358.06;275359295.66;"2022-08-29T00:00:00.000Z"
1.1730017183;1.465360423;1.0737805797;1.4004858785;226639340.03;328761768.79;"2022-09-05T00:00:00.000Z"
1.400822832;1.4233892745;0.9190896925;0.9273075878;133387014.31;217683939.16;"2022-09-12T00:00:00.000Z"
0.9276278518;0.9821746069;0.8666899928;0.9054264048;72073645.62;212547367.26;"2022-09-19T00:00:00.000Z"
0.9051799264;0.9881319684;0.8391705429;0.8423681472;57713802.99;197744544.43;"2022-09-26T00:00:00.000Z"
0.8424562386;0.8836060837;0.8269517218;0.8437430145;29768021.16;198067292.3;"2022-10-03T00:00:00.000Z"
0.8437949105;0.8505455499;0.6577986746;0.6983365762;33158848.73;163933368.8;"2022-10-10T00:00:00.000Z"
0.6982818479;0.8532791018;0.6394923332;0.8319546716;115560377.9;195299998.09;"2022-10-17T00:00:00.000Z"
0.8318550559;1.2267096772;0.7955926573;1.0433254672;143605705.77;244918946.55;"2022-10-24T00:00:00.000Z"
1.0430287779;1.3979910064;0.9522229766;1.2884389526;172185993.64;302458936.24;"2022-10-31T00:00:00.000Z"
1.2888631064;1.3833442383;0.7735323413;0.9005961441;83170005.42;211413471.45;"2022-11-07T00:00:00.000Z"
0.9013921432;0.9785824541;0.8399152404;0.8476662118;47076829.04;198988256.45;"2022-11-14T00:00:00.000Z"
0.8476868768;0.9619060318;0.8051268728;0.8841058695;28846462.81;207542406.48;"2022-11-21T00:00:00.000Z"
0.8839502167;1.1314442264;0.8440133673;1.0702388348;49591171.46;251236815.56;"2022-11-28T00:00:00.000Z"
1.0700684073;1.1138412863;0.9927727383;1.0155997246;32619769.93;238410373.84;"2022-12-05T00:00:00.000Z"
1.0154776322;1.1888067435;0.9033153542;0.9265517445;34814463.59;217506506.18;"2022-12-12T00:00:00.000Z"
0.9266460606;0.9785453984;0.8739448783;0.9326016277;29568219.06;218926706.37;"2022-12-19T00:00:00.000Z"
0.9329488082;0.9612931734;0.8835306559;0.9231188267;21844459.36;216700634.35;"2022-12-26T00:00:00.000Z"
0.9231003536;1.2625122581;0.9110496369;1.2608570141;154748334.63;295984121.31;"2023-01-02T00:00:00.000Z"
1.2607283495;1.8780347504;1.2092790819;1.8238357468;241386717.09;428142457.77;"2023-01-09T00:00:00.000Z"
1.823774737;2.4774339727;1.6188290516;2.1826406079;309663530.19;512371311.91;"2023-01-16T00:00:00.000Z"
2.1823202604;2.5227057414;1.9449290048;2.3769762875;229996458.02;557991294.76;"2023-01-23T00:00:00.000Z"
2.3775676909;3.2093314824;2.0670166565;2.935817471;336672453.46;689178348.33;"2023-01-30T00:00:00.000Z"
2.937352465;3.1674664209;2.3049161011;2.3360949504;217988924.2;548394467.77;"2023-02-06T00:00:00.000Z"
