open;high;low;close;volume;marketCap;timestamp
5.78026811;7.79148161;4.66605706;5.14912728;1865628.72;15107359.22;"2021-04-19T00:00:00.000Z"
5.14981892;6.22733876;4.41467177;4.49248283;2614821.97;13180787.39;"2021-04-26T00:00:00.000Z"
4.53251066;5.19022281;3.56581713;4.6753056;2117968.16;15821935.44;"2021-05-03T00:00:00.000Z"
4.67185205;5.46637112;3.22942107;3.41300621;1937843.33;11550124.98;"2021-05-10T00:00:00.000Z"
3.41582789;4.13690026;1.47984822;1.93642109;1436716.62;7739071.5;"2021-05-17T00:00:00.000Z"
1.93410416;2.6046293;1.8567306;1.98473782;1444318.74;7932173.42;"2021-05-24T00:00:00.000Z"
1.98368529;2.44747714;1.8861985;2.35812516;1919651.09;10733027.88;"2021-05-31T00:00:00.000Z"
2.35904172;2.49095069;1.87566795;2.32007472;1668320.24;10559840.96;"2021-06-07T00:00:00.000Z"
2.32071048;2.41517673;1.66886241;1.81278988;1500375.54;8250929.46;"2021-06-14T00:00:00.000Z"
1.81197719;1.88666836;1.31657651;1.50229668;613781.3;6837716.87;"2021-06-21T00:00:00.000Z"
1.50486123;1.5824637;1.07079856;1.36337639;1868668.63;6205419.92;"2021-06-28T00:00:00.000Z"
1.36345569;1.42210997;0.93772263;1.06951529;2627944.87;6133585.73;"2021-07-05T00:00:00.000Z"
1.0694263;1.19825715;0.70342585;0.74171066;588618.69;5875668.65;"2021-07-12T00:00:00.000Z"
0.74101786;0.98065904;0.6475165;0.89373707;1020925.47;7079988.49;"2021-07-19T00:00:00.000Z"
0.8935928;1.16975262;0.89125633;1.10849274;3878102.46;8781235.6;"2021-07-26T00:00:00.000Z"
1.10688384;1.86854512;0.95840435;1.69005435;9604399.32;13388238.79;"2021-08-02T00:00:00.000Z"
1.690617;2.00215011;1.52188046;1.8144937;3175222.6;14374019.93;"2021-08-09T00:00:00.000Z"
1.81491291;3.86230474;1.64713379;3.65908113;23804239.1;28986435.69;"2021-08-16T00:00:00.000Z"
3.65921801;5.18409441;3.56201074;4.23647508;5151163.1;33560423.55;"2021-08-23T00:00:00.000Z"
4.24190281;5.98708718;4.17546629;4.66862638;8356167.69;49370845.36;"2021-08-30T00:00:00.000Z"
4.66860779;4.69382371;3.63851248;3.76473584;1381204.29;39812179.39;"2021-09-06T00:00:00.000Z"
3.76465657;4.0255481949;3.40917646;3.5238096151;3143662.41;37264378.3;"2021-09-13T00:00:00.000Z"
3.524130978;3.5244709732;2.471474398;2.7222406652;2757404.01;28787765.82;"2021-09-20T00:00:00.000Z"
2.7217544602;3.1215037669;2.5026967752;2.9506361485;1414978.22;33068419.61;"2021-09-27T00:00:00.000Z"
2.9504105314;3.3089635686;2.7259065429;2.8418229323;1614320.16;31848926.28;"2021-10-04T00:00:00.000Z"
2.8419897708;3.4459250207;2.810821616;2.9410893602;2827447.88;32961426.68;"2021-10-11T00:00:00.000Z"
2.9411645718;3.0256150263;2.8118300118;2.877476817;2744121.06;32248507.11;"2021-10-18T00:00:00.000Z"
2.87791221;2.9495129132;2.5692532903;2.7283052514;2854104.62;30576709;"2021-10-25T00:00:00.000Z"
2.728334576;2.8471081314;2.5890830474;2.7750095144;2712775.59;36963307.11;"2021-11-01T00:00:00.000Z"
2.7749754288;2.8019807561;2.5105924442;2.5464206575;1358152.1;33918488.68;"2021-11-08T00:00:00.000Z"
2.5455516168;2.578609508;2.1074748145;2.1757726676;1068224.32;28981433.36;"2021-11-15T00:00:00.000Z"
2.1754882215;2.4823857341;1.9810818288;2.2201525918;1684845.1;29572576.84;"2021-11-22T00:00:00.000Z"
2.2200170093;2.4706691495;1.7709645568;1.9278030357;550531.26;25678461.75;"2021-11-29T00:00:00.000Z"
1.927951842;1.9893522077;1.6602763216;1.7412365338;821002.38;23193383.82;"2021-12-06T00:00:00.000Z"
1.7418920647;1.742617419;1.4230308183;1.5441114725;1010237.58;20567665.19;"2021-12-13T00:00:00.000Z"
1.5438790536;2.2365517035;1.4489723784;2.1395234278;1623446.48;28498591.13;"2021-12-20T00:00:00.000Z"
2.1393671312;2.6002683055;2.0488295404;2.4596297866;1536133.23;32762428.64;"2021-12-27T00:00:00.000Z"
2.4596127635;2.4673494945;1.9650195378;2.2219902792;1211676.82;33969622.97;"2022-01-03T00:00:00.000Z"
2.2216754535;2.7454419247;2.0471614873;2.2794626889;716581.09;34848256.91;"2022-01-10T00:00:00.000Z"
2.2792958671;2.279339375;1.3077072782;1.3567486248;1980439.08;20741872.58;"2022-01-17T00:00:00.000Z"
1.3568653581;1.4877826741;1.1910767685;1.2010934469;1236652.17;18362227.74;"2022-01-24T00:00:00.000Z"
1.2013324168;1.4256660129;1.1393995841;1.404974072;2369246.42;21479139.65;"2022-01-31T00:00:00.000Z"
1.4048703923;1.5046653026;1.2673228618;1.2858224576;1564959.91;19657558.59;"2022-02-07T00:00:00.000Z"
